id,price
188533,26710.96
188534,60371.217391304344
188535,56666.92
188536,24269.819277108432
188537,27639.30487804878
188538,14013.082191780823
188539,10253.506172839507
188540,40420.22093023256
188541,58720.35
188542,29287.378048780487
188543,15377.56
188544,11481.2
188545,56666.92
188546,66660.42
188547,19192.235294117647
188548,118952.16666666667
188549,25028.936842105264
188550,9275.214285714286
188551,97445.7042253521
188552,78835.17582417582
188553,80008.0
188554,24269.415584415583
188555,34167.895348837206
188556,16266.413793103447
188557,24589.77027027027
188558,125841.58823529411
188559,36788.49230769231
188560,11739.47311827957
188561,116528.13043478261
188562,27926.916666666668
188563,101157.16
188564,32340.1
188565,28482.2
188566,25483.43859649123
188567,14759.673076923076
188568,34316.03703703704
188569,15271.567164179105
188570,15468.126315789474
188571,39314.023255813954
188572,84253.04054054055
188573,16487.4
188574,33822.9
188575,41378.2
188576,31097.98969072165
188577,9275.214285714286
188578,33809.5
188579,50631.09259259259
188580,36498.75409836065
188581,73841.50943396226
188582,23425.3125
188583,61351.52830188679
188584,29914.74074074074
188585,36024.39682539683
188586,41543.81578947369
188587,59516.93650793651
188588,25836.14893617021
188589,15206.148148148148
188590,25758.44230769231
188591,21558.78846153846
188592,39968.480769230766
188593,21513.41891891892
188594,80008.0
188595,23314.87341772152
188596,113261.71621621621
188597,24691.14
188598,28486.89230769231
188599,13852.298245614034
188600,59516.93650793651
188601,65584.1182795699
188602,29678.327272727274
188603,80705.67948717948
188604,11904.8125
188605,32068.214285714286
188606,41003.53246753247
188607,60004.63218390805
188608,14141.17543859649
188609,56308.816091954024
188610,64966.20895522388
188611,23513.01818181818
188612,72723.46753246753
188613,27412.74647887324
188614,30661.734375
188615,61556.50588235294
188616,52739.25490196078
188617,52611.86170212766
188618,17763.144927536232
188619,78483.21052631579
188620,13457.18309859155
188621,26156.662162162163
188622,77724.53125
188623,47206.16
188624,39435.655913978495
188625,23358.219178082192
188626,17400.75257731959
188627,101409.33823529411
188628,108888.69230769231
188629,24332.55172413793
188630,28589.926470588234
188631,46998.44086021505
188632,50689.8813559322
188633,78835.17582417582
188634,8813.050847457627
188635,49072.36507936508
188636,54802.45161290323
188637,7691.355263157895
188638,37658.390625
188639,27056.622950819674
188640,13140.177419354839
188641,27179.75
188642,16360.193548387097
188643,101327.98507462686
188644,92601.5294117647
188645,53037.23333333333
188646,11208.384615384615
188647,18045.5593220339
188648,23521.969696969696
188649,64966.20895522388
188650,88219.73015873016
188651,53144.833333333336
188652,65580.171875
188653,59171.880597014926
188654,21637.7875
188655,15780.32142857143
188656,24269.819277108432
188657,34185.6875
188658,10311.183333333332
188659,45462.36
188660,8668.854838709678
188661,84253.04054054055
188662,9965.953125
188663,12700.894736842105
188664,116528.13043478261
188665,159635.62962962964
188666,27263.38157894737
188667,9618.662921348314
188668,15987.0
188669,24537.985714285714
188670,63758.36
188671,26560.489583333332
188672,32974.29824561404
188673,51837.529411764706
188674,13754.015625
188675,33963.65060240964
188676,45583.0
188677,9153.462686567163
188678,48995.188679245286
188679,33885.47872340425
188680,97445.7042253521
188681,16595.38157894737
188682,18017.396226415094
188683,12662.196721311475
188684,61409.620689655174
188685,41498.65882352941
188686,216459.86
188687,21921.96
188688,41028.21153846154
188689,10389.397260273972
188690,44770.87755102041
188691,113261.71621621621
188692,42229.62105263158
188693,11436.6
188694,14246.557377049181
188695,17511.47272727273
188696,103459.5294117647
188697,29318.483870967742
188698,13822.615384615385
188699,62878.12857142857
188700,216459.86
188701,29405.417582417584
188702,12309.671428571428
188703,79320.75
188704,53627.43373493976
188705,25690.436781609194
188706,94545.89873417722
188707,14480.588235294117
188708,16014.296296296296
188709,11498.780487804877
188710,21731.128205128207
188711,30162.82
188712,44477.21111111111
188713,36418.26
188714,24844.173076923078
188715,36935.89898989899
188716,164461.46987951806
188717,9289.314606741573
188718,13352.813186813188
188719,43751.79661016949
188720,15206.148148148148
188721,60608.66216216216
188722,59410.35051546392
188723,20628.666666666668
188724,24537.985714285714
188725,9901.474747474747
188726,38588.61016949153
188727,12145.922077922078
188728,47490.19672131148
188729,21059.98901098901
188730,68327.62626262626
188731,68327.62626262626
188732,37171.549019607846
188733,15067.132075471698
188734,10583.728260869566
188735,6680.0875
188736,11208.384615384615
188737,122151.22222222222
188738,94852.5617977528
188739,66102.1
188740,78268.43859649122
188741,53622.61666666667
188742,24049.558139534885
188743,32960.7868852459
188744,77145.66071428571
188745,72406.11235955056
188746,40118.37037037037
188747,30848.701754385966
188748,22070.070707070707
188749,41449.33928571428
188750,7201.142857142857
188751,104153.76811594203
188752,110237.37362637362
188753,10513.06
188754,37871.41
188755,116528.13043478261
188756,29287.378048780487
188757,19275.353846153845
188758,11744.725
188759,16910.892473118278
188760,13140.177419354839
188761,36165.42307692308
188762,47605.53846153846
188763,34768.13725490196
188764,13127.854545454546
188765,70024.13793103448
188766,33228.06
188767,11219.563829787234
188768,46169.72881355932
188769,56366.83076923077
188770,50420.27368421053
188771,13906.176470588236
188772,8758.9
188773,41059.0
188774,78835.17582417582
188775,46889.87142857143
188776,11494.938461538462
188777,16836.113636363636
188778,26560.489583333332
188779,94454.93181818182
188780,61351.52830188679
188781,77522.94444444444
188782,12148.569444444445
188783,13422.863157894737
188784,111382.5303030303
188785,34795.80392156863
188786,32088.652777777777
188787,8191.5125
188788,17400.75257731959
188789,54092.90540540541
188790,12413.72
188791,6385.069444444444
